PLAYER,TEAM,GP,CAP HIT
1. Sergei Bobrovsky,FLA,50,"$10,000,000"
2. Andrei Vasilevskiy,TBL,60,"$9,500,000"
3. John Gibson,ANA,53,"$6,400,000"
4. Matt Murray,TOR,26,"$6,250,000"
5. Connor Hellebuyck,WPG,64,"$6,166,666"
6. Jordan Binnington,STL,61,"$6,000,000"
7. Jacob Markström,CGY,59,"$6,000,000"
8. Philipp Grubauer,SEA,39,"$5,900,000"
9. Jonathan Quick,NYR,41,"$5,800,000"
10. Igor Shesterkin,NYR,58,"$5,666,667"
11. Elvis Merzlikins,CBJ,30,"$5,400,000"
12. Darcy Kuemper,WSH,57,"$5,250,000"
13. Jack Campbell,EDM,36,"$5,000,000"
14. Cal Petersen,PHI,10,"$5,000,000"
15. Juuse Saros,NSH,64,"$5,000,000"
16. Linus Ullmark,BOS,49,"$5,000,000"
17. Thatcher Demko,VAN,32,"$5,000,000"
18. Semyon Varlamov,NYI,23,"$5,000,000"
19. Ville Husso,DET,56,"$4,750,000"
20. Frederik Andersen,CAR,34,"$4,500,000"
21. Jake Oettinger,DAL,62,"$4,000,000"
22. Ilya Sorokin,NYI,62,"$4,000,000"
23. Carter Hart,PHI,55,"$3,979,000"
24. Petr Mrázek,CHI,39,"$3,800,000"
25. Cam Talbot,LAK,36,"$3,666,667"
26. Marc-André Fleury,MIN,46,"$3,500,000"
27. Tristan Jarry,PIT,47,"$3,500,000"
28. Vitek Vanecek,NJD,52,"$3,400,000"
29. Alexandar Georgiev,COL,62,"$3,400,000"
30. Anton Khudobin,-,1,"$3,333,333"
31. Alex Nedeljkovic,PIT,15,"$3,000,000"
32. Jake Allen,MTL,42,"$2,875,000"
33. Mackenzie Blackwood,SJS,22,"$2,800,000"
34. Kaapo Kähkönen,SJS,37,"$2,750,000"
35. Anton Forsberg,OTT,28,"$2,750,000"
36. Karel Vejmelka,ARI,50,"$2,725,000"
37. Laurent Brossoit,WPG,11,"$2,325,000"
38. James Reimer,DET,43,"$2,250,000"
39. Adin Hill,VGK,27,"$2,175,000"
40. Martin Jones,TOR,48,"$2,000,000"
41. Pavel Francouz,COL,16,"$2,000,000"
42. Antti Raanta,CAR,27,"$2,000,000"
43. Eric Comrie,BUF,19,"$1,800,000"
44. Ilya Samsonov,TOR,42,"$1,800,000"
45. Casey DeSmith,MTL,38,"$1,800,000"
46. Kevin Lankinen,NSH,19,"$1,500,000"
47. Jaroslav Halák,-,25,"$1,500,000"
48. Craig Anderson,-,26,"$1,500,000"
49. Joonas Korpisalo,OTT,39,"$1,300,000"
50. Thomas Greiss,-,21,"$1,250,000"
51. Charlie Lindgren,WSH,31,"$1,100,000"
52. Daniil Tarasov,CBJ,17,"$1,050,000"
53. Samuel Montembeault,MTL,40,"$1,000,000"
54. Scott Wedgewood,DAL,21,"$1,000,000"
55. Anthony Stolarz,FLA,19,"$950,000"
56. Devon Levi,BUF,7,"$925,000"
57. Yaroslav Askarov,NSH,1,"$925,000"
58. Mads Søgaard,OTT,19,"$925,000"
59. Spencer Knight,FLA,21,"$925,000"
60. Jeremy Swayman,BOS,37,"$925,000"
61. David Rittich,LAK,21,"$900,000"
62. Brian Elliott,-,22,"$900,000"
63. Cayden Primeau,MTL,3,"$890,000"
64. Jaxson Stauber,CHI,6,"$883,750"
65. Arvid Söderblom,CHI,15,"$883,750"
66. Justus Annunen,COL,2,"$880,833"
67. Eetu Mäkiniemi,SJS,2,"$867,500"
68. Samuel Ersson,PHI,12,"$859,167"
69. Akira Schmid,NJD,18,"$850,833"
70. Pyotr Kochetkov,CAR,24,"$842,500"
71. Ukko-Pekka Luukkonen,BUF,33,"$837,500"
72. Kevin Mandolese,OTT,3,"$835,000"
73. Pheonix Copley,LAK,37,"$825,000"
74. Lukas Dostal,ANA,19,"$822,500"
75. Leevi Meriläinen,OTT,2,"$820,000"
76. Dustin Wolf,CGY,1,"$813,333"
77. Jiri Patera,VGK,2,"$800,000"
78. Joel Hofer,STL,6,"$795,000"
79. Filip Gustavsson,MIN,39,"$787,500"
80. Arturs Silovs,VAN,5,"$786,111"
81. Aaron Dell,CBJ,4,"$775,000"
82. Dustin Tokarski,BUF,4,"$775,000"
83. Felix Sandström,PHI,20,"$775,000"
84. Joseph Woll,TOR,7,"$766,667"
85. Logan Thompson,VGK,37,"$766,667"
86. Spencer Martin,VAN,29,"$762,500"
87. Jet Greaves,CBJ,1,"$758,333"
88. Dylan Ferguson,-,2,"$750,000"
89. Dylan Wells,NSH,1,"$750,000"
90. Matt Murray,DAL,3,"$750,000"
91. Olle Eriksson Ek,-,1,"$750,000"
92. Collin Delia,WPG,20,"$750,000"
93. Michael Hutchinson,-,16,"$750,000"
94. Jon Gillies,-,3,"$750,000"
95. Alex Lyon,DET,15,"$750,000"
96. Magnus Hellberg,PIT,18,"$750,000"
97. Keith Kinkaid,-,2,"$750,000"
98. Jonas Johansson,TBL,3,"$750,000"
99. Alex Stalock,ANA,27,"$750,000"
100. Ivan Prosvetov,ARI,7,"$750,000"
101. Stuart Skinner,EDM,50,"$750,000"
102. Erik Källgren,NJD,10,"$750,000"
103. Joey Daccord,SEA,5,"$750,000"
104. Daniel Vladar,CGY,27,"$750,000"
105. Connor Ingram,ARI,27,"$733,333"
